title,Released_Year,runtime,genre,rating,gross,director,lead_actor,lead_actor_rank,lead_actor_total_revenue,lead_actor_avg_revenue,budget,release_date,release_month,release_season
Die Hard,1988,132,Action,8.2,"83,008,852.00",John McTiernan,Bruce Willis,39,"6,761,295,465.00","76,832,903.00","28,000,000.00",7/15/1988,7,Summer
Raging Bull,1980,129,Biography,8.2,"23,383,987.00",Martin Scorsese,Robert De Niro,68,"5,178,834,488.00","67,257,591.00","18,000,000.00",11/14/1980,11,Fall
Logan,2017,137,Action,8.1,"226,277,068.00",James Mangold,Hugh Jackman,46,"6,366,826,328.00","176,856,287.00","127,000,000.00",2/23/2017,2,Winter
Room,2015,118,Drama,8.1,"14,677,674.00",Lenny Abrahamson,Brie Larson,61,"5,456,416,367.00","419,724,336.00","13,000,000.00",10/16/2015,10,Fall
The Grand Budapest Hotel,2014,99,Adventure,8.1,"59,100,318.00",Wes Anderson,Ralph Fiennes,71,"5,076,825,225.00","163,768,556.00","31,000,000.00",3/5/2014,3,Spring
Gone Girl,2014,149,Drama,8.1,"167,767,189.00",David Fincher,Ben Affleck,70,"5,090,295,932.00","113,117,687.00","61,000,000.00",10/2/2014,10,Fall
Hacksaw Ridge,2016,139,Biography,8.1,"67,209,615.00",Mel Gibson,Andrew Garfield,321,"1,735,205,408.00","133,477,339.00","40,000,000.00",11/3/2016,11,Fall
Inside Out,2015,95,Animation,8.1,"356,461,711.00",Pete Docter,Ronnie Del Carmen,974,"484,829,737.00","484,829,737.00","175,000,000.00",6/12/2015,6,Summer
12 Years a Slave,2013,134,Biography,8.1,"56,671,993.00",Steve McQueen,Chiwetel Ejiofor,131,"3,546,380,980.00","197,021,166.00","20,000,000.00",10/18/2013,10,Fall
Rush,2013,123,Action,8.1,"26,947,624.00",Ron Howard,Daniel Brühl,1219,"347,356,239.00","24,811,160.00","38,000,000.00",9/13/2013,9,Fall
Spotlight,2015,129,Biography,8.1,"45,055,776.00",Tom McCarthy,Mark Ruffalo,15,"9,788,293,690.00","425,577,987.00","20,000,000.00",11/6/2015,11,Fall
Prisoners,2013,153,Crime,8.1,"61,002,302.00",Denis Villeneuve,Hugh Jackman,46,"6,366,826,328.00","176,856,287.00","46,000,000.00",9/19/2013,9,Fall
Mad Max: Fury Road,2015,120,Action,8.1,"154,058,340.00",George Miller,Tom Hardy,176,"2,753,145,701.00","144,902,405.00","150,000,000.00",5/14/2015,5,Spring
Gran Torino,2008,116,Drama,8.1,"148,095,302.00",Clint Eastwood,Clint Eastwood,204,"2,448,610,923.00","51,012,728.00","25,000,000.00",12/12/2008,12,Winter
How to Train Your Dragon,2010,98,Animation,8.1,"217,581,231.00",Dean DeBlois,Chris Sanders,687,"818,868,422.00","409,434,211.00","165,000,000.00",3/26/2010,3,Spring
Into the Wild,2007,148,Adventure,8.1,"18,354,356.00",Sean Penn,Emile Hirsch,1345,"294,955,761.00","9,831,859.00","20,000,000.00",9/21/2007,9,Fall
Million Dollar Baby,2004,132,Drama,8.1,"100,492,203.00",Clint Eastwood,Hilary Swank,640,"867,120,627.00","41,291,458.00","30,000,000.00",12/15/2004,12,Winter
Hotel Rwanda,2004,121,Biography,8.1,"23,530,892.00",Terry George,Don Cheadle,17,"9,027,488,223.00","392,499,488.00","17,500,000.00",12/22/2004,12,Winter
Catch Me If You Can,2002,141,Biography,8.1,"164,615,351.00",Steven Spielberg,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","52,000,000.00",12/25/2002,12,Winter
The Sixth Sense,1999,107,Drama,8.1,"293,506,292.00",M. Night Shyamalan,Bruce Willis,39,"6,761,295,465.00","76,832,903.00","40,000,000.00",1/15/1999,1,Winter
The Truman Show,1998,103,Comedy,8.1,"125,618,201.00",Peter Weir,Jim Carrey,56,"5,621,794,672.00","187,393,156.00","60,000,000.00",6/5/1998,6,Summer
Jurassic Park,1993,127,Action,8.1,"402,453,882.00",Steven Spielberg,Sam Neill,1039,"448,550,941.00","24,919,497.00","63,000,000.00",6/11/1993,6,Summer
Dead Poets Society,1989,128,Comedy,8.1,"95,860,116.00",Peter Weir,Robin Williams,81,"4,760,847,075.00","128,671,543.00","16,400,000.00",6/2/1989,6,Summer
Platoon,1986,120,Drama,8.1,"138,530,565.00",Oliver Stone,Charlie Sheen,602,"934,825,185.00","33,386,614.00","6,000,000.00",12/19/1986,12,Winter
Blade Runner,1982,117,Action,8.1,"32,868,943.00",Ridley Scott,Harrison Ford,26,"8,173,625,047.00","194,610,120.00","28,000,000.00",6/25/1982,6,Summer
The Elephant Man,1980,124,Biography,8.1,,David Lynch,Anthony Hopkins,98,"4,264,940,995.00","99,184,674.00","5,000,000.00",10/3/1980,10,Fall
The Deer Hunter,1978,183,Drama,8.1,"48,979,328.00",Michael Cimino,Robert De Niro,68,"5,178,834,488.00","67,257,591.00","15,000,000.00",12/8/1978,12,Winter
Barry Lyndon,1975,185,Adventure,8.1,,Stanley Kubrick,Ryan O'Neal,1481,"246,678,402.00","49,335,680.00","11,000,000.00",12/18/1975,12,Winter
Chinatown,1974,130,Drama,8.1,"29,000,000.00",Roman Polanski,Jack Nicholson,217,"2,388,895,450.00","79,629,848.00","6,000,000.00",6/21/1974,6,Summer
Ben-Hur,1959,212,Adventure,8.1,"74,700,000.00",William Wyler,Charlton Heston,1493,"243,551,718.00","30,443,965.00","15,000,000.00",6/30/2016,6,Summer
Bajrangi Bhaijaan,2015,163,Action,8,"8,178,001.00",Kabir Khan,Salman Khan,843,"594,075,298.00","39,605,020.00","13,000,000.00",7/16/2015,7,Summer
La La Land,2016,128,Comedy,8,"151,101,803.00",Damien Chazelle,Ryan Gosling,145,"3,303,774,993.00","137,657,291.00","30,000,000.00",11/30/2016,11,Fall
Lion,2016,118,Biography,8,"51,739,495.00",Garth Davis,Dev Patel,587,"964,996,548.00","68,928,325.00","12,000,000.00",11/25/2016,11,Fall
The Martian,2015,144,Adventure,8,"228,433,663.00",Ridley Scott,Matt Damon,32,"7,316,585,246.00","159,056,201.00","108,000,000.00",9/30/2015,9,Fall
Wonder,2017,113,Drama,8,"132,422,809.00",Stephen Chbosky,Jacob Tremblay,813,"630,613,737.00","63,061,374.00","20,000,000.00",10/17/2017,10,Fall
The Imitation Game,2014,114,Biography,8,"91,125,683.00",Morten Tyldum,Benedict Cumberbatch,25,"8,280,878,398.00","414,043,920.00","15,000,000.00",11/14/2014,11,Fall
Guardians of the Galaxy,2014,121,Action,8,"333,176,600.00",James Gunn,Chris Pratt,5,"14,148,650,762.00","589,527,115.00","170,000,000.00",7/31/2014,7,Summer
Blade Runner 2049,2017,164,Action,8,"92,054,159.00",Denis Villeneuve,Harrison Ford,26,"8,173,625,047.00","194,610,120.00","185,000,000.00",9/29/2017,9,Fall
Her,2014,126,Drama,8,"25,568,251.00",Spike Jonze,Joaquin Phoenix,269,"1,979,971,962.00","104,209,051.00","23,000,000.00",1/10/2014,1,Winter
Bohemian Rhapsody,2018,134,Biography,8,"216,428,042.00",Bryan Singer,Rami Malek,226,"2,312,578,507.00","231,257,851.00","55,000,000.00",10/24/2018,10,Fall
The Revenant,2015,156,Action,8,"183,637,894.00",Alejandro G. Iñárritu,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","135,000,000.00",12/25/2015,12,Winter
The Perks of Being a Wallflower,2012,103,Drama,8,"17,738,570.00",Stephen Chbosky,Logan Lerman,689,"818,099,693.00","74,372,699.00","13,000,000.00",9/20/2012,9,Fall
The Help,2011,146,Drama,8,"169,708,112.00",Tate Taylor,Emma Stone,189,"2,549,248,305.00","141,624,906.00","25,000,000.00",8/10/2011,8,Summer
Deadpool,2016,108,Action,8,"363,070,709.00",Tim Miller,Ryan Reynolds,65,"5,258,501,244.00","128,256,128.00","58,000,000.00",2/9/2016,2,Winter
My Name Is Khan,2010,165,Drama,8,"4,018,695.00",Karan Johar,Shah Rukh Khan,1006,"469,197,397.00","33,514,100.00","8,470,000.00",2/12/2010,2,Winter
Black Swan,2010,108,Drama,8,"106,954,678.00",Darren Aronofsky,Natalie Portman,58,"5,592,174,916.00","164,475,733.00","13,000,000.00",12/3/2010,12,Winter
The Avengers,2012,143,Action,8,"623,279,547.00",Joss Whedon,Robert Downey Jr.,3,"14,346,904,626.00","326,066,014.00","225,000,000.00",4/25/2012,4,Spring
Dallas Buyers Club,2013,117,Biography,8,"27,298,285.00",Jean-Marc Vallée,Matthew McConaughey,142,"3,350,536,964.00","108,081,838.00","5,000,000.00",11/1/2013,11,Fall
The Pursuit of Happyness,2006,117,Biography,8,"163,566,459.00",Gabriele Muccino,Will Smith,18,"9,005,074,051.00","243,380,380.00","55,000,000.00",12/15/2006,12,Winter
Blood Diamond,2006,143,Adventure,8,"57,366,262.00",Edward Zwick,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","100,000,000.00",12/8/2006,12,Winter
