title,Released_Year,runtime,genre,rating,gross,director,lead_actor,lead_actor_rank,lead_actor_total_revenue,lead_actor_avg_revenue,budget,release_date,release_month,release_season
American Psycho,2000,101,Comedy,7.6,"15,070,285.00",Mary Harron,Christian Bale,53,"5,869,521,575.00","150,500,553.00","8,000,000.00",4/14/2000,4,Spring
Fear and Loathing in Las Vegas,1998,118,Adventure,7.6,"10,680,275.00",Terry Gilliam,Johnny Depp,12,"10,355,729,144.00","195,391,116.00","18,500,000.00",5/22/1998,5,Spring
Dark City,1998,100,Mystery,7.6,"14,378,331.00",Alex Proyas,Rufus Sewell,1419,"265,392,117.00","44,232,020.00","27,000,000.00",2/27/1998,2,Winter
Sleepers,1996,147,Crime,7.6,"49,100,000.00",Barry Levinson,Robert De Niro,68,"5,178,834,488.00","67,257,591.00","44,000,000.00",10/18/1996,10,Fall
Sense and Sensibility,1995,136,Drama,7.6,"43,182,776.00",Ang Lee,Emma Thompson,165,"2,911,328,179.00","132,333,099.00","16,500,000.00",12/11/1995,12,Winter
Die Hard: With a Vengeance,1995,128,Action,7.6,"100,012,499.00",John McTiernan,Bruce Willis,39,"6,761,295,465.00","76,832,903.00","90,000,000.00",5/19/1995,5,Spring
The Bridges of Madison County,1995,135,Drama,7.6,"71,516,617.00",Clint Eastwood,Clint Eastwood,204,"2,448,610,923.00","51,012,728.00","22,000,000.00",6/2/1995,6,Summer
Apollo 13,1995,140,Adventure,7.6,"173,837,933.00",Ron Howard,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","65,000,000.00",6/30/1995,6,Summer
My Cousin Vinny,1992,120,Comedy,7.6,"52,929,168.00",Jonathan Lynn,Joe Pesci,348,"1,602,095,988.00","200,261,999.00","11,000,000.00",3/13/1992,3,Spring
Home Alone,1990,103,Comedy,7.6,"285,761,243.00",Chris Columbus,Macaulay Culkin,584,"970,652,065.00","194,130,413.00","15,000,000.00",11/16/1990,11,Fall
The Godfather: Part III,1990,162,Crime,7.6,"66,666,062.00",Francis Ford Coppola,Al Pacino,203,"2,454,775,881.00","55,790,361.00","54,000,000.00",12/25/1990,12,Winter
When Harry Met Sally...,1989,95,Comedy,7.6,"92,823,600.00",Rob Reiner,Billy Crystal,240,"2,151,912,678.00","134,494,542.00","16,000,000.00",7/14/1989,7,Summer
Lethal Weapon,1987,109,Action,7.6,"65,207,127.00",Richard Donner,Mel Gibson,83,"4,721,179,010.00","85,839,618.00","15,000,000.00",3/6/1987,3,Spring
Escape from Alcatraz,1979,112,Action,7.6,"43,000,000.00",Don Siegel,Clint Eastwood,204,"2,448,610,923.00","51,012,728.00","8,000,000.00",6/22/1979,6,Summer
Close Encounters of the Third Kind,1977,138,Drama,7.6,"132,088,635.00",Steven Spielberg,Richard Dreyfuss,453,"1,281,295,154.00","80,080,947.00","20,000,000.00",11/16/1977,11,Fall
